,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb,Unnamed: 0
132,3 Industrial Place," 325,000 ", Dec 2014,0, ,, ,," 1,349 ",,0,0,0,Break Water,132.0
133,5 Industrial Place," 325,000 ", Dec 2014,0, ,, ,," 1,349 ",,0,0,0,Break Water,133.0
134,5/6-10 Apparel Close," 335,000 ", Nov 2014,0, ,, ,, 384 ,,0,0,0,Break Water,134.0
135,57 Tucker Street," 1,400,000 ", Nov 2014,0, ,, ,," 3,546 ",,0,0,0,Break Water,135.0
136,26 Leather Street," 495,000 ", Nov 2014,0, ,, ,," 2,148 ",,0,0,0,Break Water,136.0
137,9/6 Apparel Close," 291,500 ", Nov 2014,0, ,, ,, 166 ,,0,0,0,Break Water,137.0
138,5/6 Apparel Close," 335,000 ", Nov 2014,0, ,, ,, 383 ,,0,0,0,Break Water,138.0
139,36-40 Fellmongers Road," 7,490,676 ", Oct 2014,0," 6,325,000 ", Jul 2011, ,," 81,474 ",,0,0,0,Break Water,139.0
140,194 St Albans Road," 120,000 ", Oct 2014,0, ,, ,, 530  ,116.0,3,1,2,Break Water,140.0
141,36 Fellmongers Road," 7,490,676 ", Oct 2014,0, ,, ,," 81,474 ",,0,0,0,Break Water,141.0
142,26 Hitchcock Street," 280,000 ", Sep 2014,0," 126,000 ", Dec 2001, ,, 557  ,139.0,3,1,1,Break Water,142.0
143,9 Fellmongers Road," 230,000 ", Aug 2014,0," 69,500 ", Sep 1999, ,, 397  ,160.0,3,1,2,Break Water,143.0
144,20-21 Industrial Place," 1,000,000 ", Aug 2014,0," 260,000 ", Sep 2005, ,," 2,037 ",,0,0,0,Break Water,144.0
145,2 Dyson Court," 1,298,000 ", Aug 2014,0," 68,000 ", Mar 1995, ,," 4,388 ",,0,0,0,Break Water,145.0
146,20 Industrial Place," 1,000,000 ", Aug 2014,0, ,, ,," 2,037 ",,0,0,0,Break Water,146.0
147,10/6 Apparel Close," 335,500 ", Aug 2014,0, ,, ,, 161 ,,0,0,0,Break Water,147.0
148,1/6 Solomon Court," 225,000 ", Jun 2014,0, ,, ,, 302 ,,3,1,1,Break Water,148.0
149,39 Fidge Crescent," 179,900 ", Jun 2014,0," 169,000 ", Apr 2007, ,, 557  ,107.0,3,1,2,Break Water,149.0
150,92 St Albans Road," 220,000 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water,150.0
151,9a Fellmongers Road," 165,000 ", Jun 2014,0, ,, ,, 397 ,,2,1,1,Break Water,151.0
152,205 Boundary Road," 239,500 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water,152.0
153,2 Atkins Street," 199,000 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water,153.0
154,23 Boundary Road," 249,000 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water,154.0
155,9 Fidge Crescent," 254,000 ", Jun 2014,0," 225,000 ", Jul 2010, ,, 596  ,110.0,3,1,1,Break Water,155.0
156,15 Fellmongers Road," 277,000 ", Jun 2014,0, ,, ,, 664 ,,3,1,3,Break Water,156.0
157,32 Leather Street," 715,000 ", May 2014,0, ,, ,," 4,092  ",1458.0,0,0,0,Break Water,157.0
158,2/8 Tucker Street," 258,000 ", May 2014,0, ,, ,, 348  ,104.0,0,0,0,Break Water,158.0
159,9/9-11 Leather Street," 236,500 ", Apr 2014,0," 209,000 ", Aug 2011, ,, 110 ,,0,0,0,Break Water,159.0
160,6 McAllister Street," 265,000 ", Apr 2014,0," 73,000 ", Nov 1995, ,, 537  ,130.0,3,1,3,Break Water,160.0
161,9/9 Leather Street," 236,500 ", Mar 2014,0, ,, ,, 110 ,,0,0,0,Break Water,161.0
162,1/8 Tucker Street," 245,000 ", Mar 2014,0, ,, ,, 365  ,90.0,6,2,3,Break Water,162.0
163,2/9-11 Leather Street," 198,000 ", Feb 2014,0," 138,000 ", Apr 2007, ,, 94 ,,0,0,0,Break Water,163.0
164,4 Tucker Street," 242,500 ", Jan 2014,0, ,, ,, 856  ,97.0,3,1,1,Break Water,164.0
165,2/6-10 Apparel Close," 266,000 ", Dec 2013,0, ,, ,, 169  ,162.0,0,0,0,Break Water,165.0
166,2/6 Apparel Close," 266,000 ", Dec 2013,0, ,, ,, ,,0,0,0,Break Water,166.0
167,6/21 Leather Street," 720,000 ", Dec 2013,0," 550,000 ", May 2009, ,," 1,337 ",,0,0,0,Break Water,167.0
168,1/6 Apparel Close," 302,500 ", Dec 2013,0, ,, ,, ,,0,0,0,Break Water,168.0
169,4/43-45 Tucker Street," 233,000 ", Nov 2013,0," 89,000 ", May 2001, ,, 187 ,,0,0,0,Break Water,169.0
170,4/43 Tucker Street," 233,000 ", Nov 2013,0, ,, ,, 187 ,,0,0,0,Break Water,170.0
171,5/12 Apparel Close," 335,500 ", Nov 2013,0, ,, ,, 216 ,,0,0,0,Break Water,171.0
172,56B Tucker Street," 350,250 ", Oct 2013,0," 280,000 ", Dec 2007, ,, 762  ,125.0,3,1,1,Break Water,172.0
173,33 Young Street," 250,000 ", Oct 2013,0, ,, 350 , Sep 2019, 534  ,100.0,3,1,2,Break Water,173.0
174,8 Tucker Street," 363,700 ", Oct 2013,0, ,, ,, 135 ,,6,2,3,Break Water,174.0
175,14-16 Currier Street," 390,000 ", Oct 2013,0," 220,000 ", Jul 2005, ,," 1,854 ",,0,0,0,Break Water,175.0
176,3/66 Tanner Street," 375,100 ", Oct 2013,0, ,, ,, 504 ,,0,0,0,Break Water,176.0
177,1/66 Tanner Street," 120,450 ", Oct 2013,0, ,, ,, 872 ,,0,0,0,Break Water,177.0
178,2/66 Tanner Street," 120,450 ", Oct 2013,0, ,, ,, 874 ,,0,0,0,Break Water,178.0
179,56 Tucker Street," 350,250 ", Oct 2013,0," 85,000 ", Mar 1988, ,, 762 ,,0,0,0,Break Water,179.0
180,14 Currier Street," 390,000 ", Oct 2013,0," 220,000 ", Jul 2005, ,," 1,854 ",,0,0,0,Break Water,180.0
181,58 Tucker Street," 410,000 ", 21 Sep 2013,1, ,, ,," 1,364 ",,0,0,0,Break Water,181.0
182,5 Tanner Court," 374,500 ", Sep 2013,0," 125,000 ", Dec 2007, ,, 621  ,134.0,0,0,0,Break Water,182.0
183,6/12 Apparel Close," 332,750 ", Sep 2013,0, ,, ,, 216 ,,0,0,0,Break Water,183.0
184,7/12 Apparel Close," 269,500 ", Sep 2013,0, ,, ,, 163 ,,0,0,0,Break Water,184.0
185,1/12-14 Apparel Close," 308,000 ", Aug 2013,0, ,," 20,000 ", Jul 2017, 163 ,,0,0,0,Break Water,185.0
186,8/12-14 Apparel Close," 264,000 ", Aug 2013,0, ,, ,, 167 ,,0,0,0,Break Water,186.0
187,48 Tucker Street," 350,000 ", Aug 2013,0, ,, 300 , Jan 2014," 1,176  ",127.0,3,1,1,Break Water,187.0
188,1/12 Apparel Close," 308,000 ", Aug 2013,0, ,, ,, 163  ,160.0,0,0,0,Break Water,188.0
189,8/12 Apparel Close," 264,000 ", Aug 2013,0, ,, ,," 3,633 ",,0,0,0,Break Water,189.0
190,55 Leather Street," 335,000 ", Aug 2013,0," 75,000 ", Sep 1996, ,," 1,534  ",1534.0,0,0,0,Break Water,190.0
191,324 Boundary Road," 700,000 ", Aug 2013,0," 315,000 ", Jul 2001, ,," 2,179  ",885.0,0,0,0,Break Water,191.0
192,5 Hitchcock Street," 245,000 ", Jul 2013,0," 62,000 ", Sep 1996, ,, 545 ,,3,1,2,Break Water,192.0
193,4/12 Apparel Close," 262,350 ", Jul 2013,0, ,, ,, ,,0,0,0,Break Water,193.0
194,8 Holman Court," 240,000 ", Jul 2013,0," 87,000 ", Dec 2000, ,, 732 ,,3,1,1,Break Water,194.0
195,2/10 Cosgrove Street," 267,500 ", Jun 2013,0," 250,000 ", Nov 2009, ,, 851 ,,0,0,0,Break Water,195.0
196,54 Hitchcock Street," 255,000 ", Jun 2013,0," 82,500 ", Feb 2001, ,, 534 ,,3,1,2,Break Water,196.0
197,7/9-11 Leather Street," 345,000 ", May 2013,0," 230,000 ", Sep 2007, ,, 349 ,,0,0,0,Break Water,197.0
198,22 Fidge Crescent," 278,000 ", May 2013,0, ,, ,, 558  ,124.0,4,2,1,Break Water,198.0
199,7/9 Leather Street," 345,000 ", May 2013,0, ,, ,, 349 ,,0,0,0,Break Water,199.0
200,3/12 Apparel Close," 261,800 ", May 2013,0, ,, ,, 169 ,,0,0,0,Break Water,200.0
201,11 Fidge Crescent," 246,000 ", 29 Apr 2013,1, ,, 185 , Jul 2007, 586  ,99.0,3,1,1,Break Water,201.0
202,18 Fellmongers Road," 255,000 ", Apr 2013,0, ,, 280 , Mar 2012, 650 ,,3,1,3,Break Water,202.0
203,5/9 Leather Street," 233,200 ", Apr 2013,0, ,, ,, 114  ,191.0,0,0,0,Break Water,203.0
204,2/12 Apparel Close," 261,800 ", Apr 2013,0, ,, ,, 169 ,,0,0,0,Break Water,204.0
205,2 Hamilton Court," 173,000 ", Mar 2013,0, ,, ,, 777 ,,0,0,0,Break Water,205.0
206,1/28 Breakwater Road," 445,000 ", Mar 2013,0, ,, 240 , Nov 2013, ,,0,0,0,Break Water,206.0
207,25 Young Street," 250,000 ", Mar 2013,0," 200,000 ", Mar 2006, ,, 534 ,,1,0,0,Break Water,207.0
208,62 Tanner Street," 270,000 ", Mar 2013,0," 219,000 ", Mar 2005, ,, 806 ,,3,1,4,Break Water,208.0
209,54 Fidge Crescent," 265,000 ", Feb 2013,0," 170,000 ", Feb 2008, ,, 557  ,124.0,2,1,1,Break Water,209.0
210,2 Tucker Street," 310,000 ", Jan 2013,0," 202,500 ", Aug 2005, ,, 900 ,,3,1,2,Break Water,210.0
211,26 Young Street," 220,000 ", Dec 2012,0, ,, 310 , Mar 2013, 534  ,98.0,3,1,1,Break Water,211.0
212,2/6 Solomon Court," 275,000 ", Dec 2012,0," 55,000 ", Sep 2009, ,, 254 ,,3,2,1,Break Water,212.0
213,2/7 Tucker Street," 165,000 ", Dec 2012,0, ,, 180 , Jan 2013, 47 ,,0,0,0,Break Water,213.0
214,7 Reeves Court," 264,000 ", Nov 2012,0," 220,000 ", Apr 2010, ,," 1,216 ",,0,0,0,Break Water,214.0
215,8/1 Holman Court," 190,000 ", Oct 2012,0," 139,000 ", Aug 2007, ,," 1,557 ",,0,0,0,Break Water,215.0
216,52 Leather Street," 605,000 ", Sep 2012,0," 316,938 ", Jun 2002, ,," 1,815 ",,0,0,0,Break Water,216.0
217,4/1 Holman Court," 90,000 ", Sep 2012,0, ,, 260 , Jul 2019, 83 ,,2,1,1,Break Water,217.0
218,35 Fidge Crescent," 240,000 ", Aug 2012,0, ,, ,, 573 ,,3,1,1,Break Water,218.0
219,50 Leather Street," 1,595,000 ", Aug 2012,0," 185,000 ", Nov 1998, ,," 1,820 ",,0,0,0,Break Water,219.0
220,32 Fellmongers Road," 4,950,000 ", Aug 2012,0, ,, ,," 52,697 ",,0,0,0,Break Water,220.0
221,91 Holman Court," 146,000 ", Jul 2012,0, ,, ,, ,,0,0,0,Break Water,221.0
222,25 Leather Street," 2,175,000 ", Jul 2012,0, ,, ,," 6,875 ",,0,0,0,Break Water,222.0
223,"9,1 Holman Court"," 146,000 ", Jul 2012,0, ,, ,, 52 ,,0,0,0,Break Water,223.0
224,58 Leather Street," 1,300,000 ", Jun 2012,0," 170,000 ", Jul 2001, ,," 3,899 ",,0,0,0,Break Water,224.0
225,20 Cosgrove Street," 60,000 ", Jun 2012,0, ,, ,, 771 ,,0,0,0,Break Water,225.0
226,31 Tanner Street," 295,000 ", May 2012,0, ,, ,, 766  ,105.0,3,1,1,Break Water,226.0
227,2/12 Cosgrove Street," 285,000 ", May 2012,0, ,, ,, 250 ,,2,1,1,Break Water,227.0
228,2/22 Tucker Street," 110,000 ", May 2012,0, ,, ,, 319  ,117.0,0,0,0,Break Water,228.0
229,1/22 Tucker Street," 110,000 ", May 2012,0, ,, ,," 1,220  ",117.0,0,0,0,Break Water,229.0
230,3/60 Tanner Street," 323,000 ", May 2012,0, ,, 285 , Apr 2019, 273 ,,0,0,0,Break Water,230.0
231,9 Hitchcock Street," 259,900 ", Apr 2012,0," 95,000 ", Aug 2000, ,, 532 ,,3,1,1,Break Water,231.0
232,2/60 Tanner Street," 285,000 ", Mar 2012,0, ,, ,, 273  ,93.0,0,0,0,Break Water,232.0
233,24 Fellmongers Road," 270,000 ", Feb 2012,0, ,, ,, 657 ,,3,1,4,Break Water,233.0
234,26 Fidge Crescent," 231,000 ", Jan 2012,0, ,, ,, 558 ,,3,1,1,Break Water,234.0
235,1 Hamilton Court," 290,000 ", Jan 2012,0," 86,500 ", Jun 1991, ,, 753  ,167.0,4,2,2,Break Water,235.0
236,42 Fidge Crescent," 242,500 ", Jan 2012,0, ,, 210 , Nov 2005, 551 ,,3,1,1,Break Water,236.0
237,204 St Albans Road," 245,000 ", Jan 2012,0, ,, ,, 531  ,117.0,3,1,2,Break Water,237.0
238,228 St Albans Road," 249,900 ", Jan 2012,0," 186,000 ", Nov 2004, ,, 542 ,,3,1,0,Break Water,238.0
239,9/12 Apparel Close," 261,250 ", Jan 2012,0, ,, ,, 170 ,,0,0,0,Break Water,239.0
240,10/12 Apparel Close," 299,750 ", Jan 2012,0, ,, ,, ,,0,0,0,Break Water,240.0
241,2/1 Tanner Street," 297,500 ", Nov 2011,0, ,, 340 , Sep 2018, 265  ,102.0,2,1,1,Break Water,241.0
242,1 & 4/1 Tanner Street," 320,000 ", Nov 2011,0, ,, ,, ,,0,0,0,Break Water,242.0
243,1/24 Cosgrove Street," 277,500 ", Nov 2011,0," 229,000 ", Feb 2006, ,, 302 ,,2,1,2,Break Water,243.0
244,24 Tucker Street," 250,000 ", Oct 2011,0, ,, 275 , Nov 2011, 580 ,,3,1,1,Break Water,244.0
245,1/2 Fowler Street," 295,000 ", Sep 2011,0, ,, ,, 238  ,101.0,0,0,0,Break Water,245.0
246,22 Industrial Place," 395,000 ", Aug 2011,0, ,, ,," 2,035 ",,0,0,0,Break Water,246.0
247,28 Industrial Place," 800,000 ", Aug 2011,0, ,, ,," 5,005 ",,0,0,0,Break Water,247.0
248,2/2 Fowler Street," 317,500 ", Aug 2011,0, ,, ,, 240 ,,0,0,0,Break Water,248.0
249,2/22 Apparel Close," 270,000 ", Jul 2011,0, ,, ,," 2,776  ",35.0,0,0,0,Break Water,249.0
250,3/22 Apparel Close," 308,186 ", Jul 2011,0, ,, ,," 2,776 ",,0,0,0,Break Water,250.0
251,2/1 Reeves Court," 295,000 ", Jun 2011,0," 126,750 ", Feb 1990, ,, 691 ,,0,0,0,Break Water,251.0
252,1/1 Reeves Court," 295,000 ", Jun 2011,0," 126,700 ", Jul 1989, ,," 1,972 ",,0,0,0,Break Water,252.0
253,20 Fidge Crescent," 233,000 ", May 2011,0, ,, 210 , Nov 2008, 557  ,121.0,3,1,1,Break Water,253.0
254,2/1 Holman Court," 180,000 ", Apr 2011,0," 129,000 ", Nov 2006, ,," 1,551 ",,0,0,0,Break Water,254.0
255,14 Cosgrove Street," 289,000 ", Apr 2011,0, ,, 330 , Mar 2020, 848  ,112.0,3,1,2,Break Water,255.0
256,3/51 Tucker Street," 285,500 ", Apr 2011,0, ,, ,, 214 ,,0,0,0,Break Water,256.0
257,2/55 Tanner Street," 268,000 ", Mar 2011,0," 252,500 ", Sep 2009, ,, 222 ,,0,0,0,Break Water,257.0
258,12 Hitchcock Street," 260,000 ", Mar 2011,0, ,, 340 , Jan 2019, 539  ,105.0,3,2,1,Break Water,258.0
259,20 Hitchcock Street," 246,000 ", Mar 2011,0, ,, ,, 557 ,,0,0,0,Break Water,259.0
260,1/21 Leather Street," 755,900 ", Mar 2011,0," 550,000 ", Nov 2003, ,," 2,556 ",,0,0,0,Break Water,260.0
261,46 Fidge Crescent," 245,000 ", 29 Jan 2011,1, ,, ,, 557 ,,4,2,1,Break Water,261.0
262,14 Fidge Crescent," 255,000 ", Jan 2011,0," 185,000 ", Jan 2007, ,, 553  ,106.0,3,1,1,Break Water,262.0
263,6 Tanner Court," 259,900 ", Dec 2010,0, ,, ,, 660 ,,4,2,1,Break Water,263.0
264,95-97 Tanner Street," 650,000 ", Dec 2010,0," 188,500 ", Nov 2000, ,," 46,330 ",,0,0,0,Break Water,264.0
265,70 Leather Street," 250,000 ", Dec 2010,0," 60,000 ", Jan 1994, ,," 2,788 ",,0,0,0,Break Water,265.0
266,66 Leather Street," 2,400,000 ", Dec 2010,0, ,, ,," 7,366 ",,0,0,0,Break Water,266.0
267,95 Tanner Street," 650,000 ", Dec 2010,0, ,, ,," 46,330 ",,0,0,0,Break Water,267.0
268,212 St Albans Road," 267,000 ", Nov 2010,0, ,, ,, 531  ,116.0,3,1,1,Break Water,268.0
269,5 McAllister Street," 229,000 ", Nov 2010,0," 58,000 ", Nov 1996, ,, 581 ,,3,1,1,Break Water,269.0
270,1/61 Tucker Street," 170,000 ", Nov 2010,0," 54,500 ", Oct 1992, ,, 771 ,,0,0,0,Break Water,270.0
271,53 Tucker Street," 223,000 ", Nov 2010,0," 196,000 ", Oct 2009, ,, 450 ,,2,1,2,Break Water,271.0
272,36 Hitchcock Street," 215,000 ", Oct 2010,0," 90,000 ", Jul 2000, ,, 618  ,110.0,3,1,1,Break Water,272.0
273,8 Hitchcock Street," 249,000 ", 13 Oct 2010,1, ,, 275 , Jan 2017, 538  ,105.0,3,1,3,Break Water,273.0
274,8 Fellmongers Road," 260,000 ", Oct 2010,0, ,, ,, 648 ,,2,0,0,Break Water,274.0
275,3 Dyson Court," 700,000 ", Sep 2010,0," 600,000 ", Oct 2005, ,," 13,711 ",,0,0,0,Break Water,275.0
276,7/1 Holman Court," 179,000 ", Aug 2010,0," 143,000 ", Mar 2008, ,, 47 ,,0,0,0,Break Water,276.0
277,9 Mcallister Street," 260,000 ", Aug 2010,0," 180,000 ", Apr 2004, ,, 672 ,,3,1,2,Break Water,277.0
278,31 Tucker Street," 280,000 ", Aug 2010,0, ,, 340 , Jan 2020, 706 ,,3,1,1,Break Water,278.0
279,32 Hitchcock Street," 235,500 ", 01 Aug 2010,1," 168,500 ", Jan 2004, ,, 644  ,101.0,3,1,2,Break Water,279.0
280,6 Fellmongers Road," 280,000 ", Jul 2010,0, ,, ,, 643 ,,3,2,1,Break Water,280.0
281,10 Fellmongers Road," 280,000 ", Jul 2010,0," 200,000 ", Dec 2006, ,, 665 ,,3,1,4,Break Water,281.0
282,14 Fellmongers Road," 270,000 ", Jul 2010,0," 180,000 ", Feb 2006, ,, 583 ,,3,1,0,Break Water,282.0
283,12 Fellmongers Road," 295,000 ", Jul 2010,0," 64,500 ", Mar 1988, ,, 586 ,,1,0,0,Break Water,283.0
284,16 Fellmongers Road," 270,000 ", Jul 2010,0, ,, ,, 573 ,,1,1,2,Break Water,284.0
285,3 Lawless Court," 310,000 ", Jul 2010,0, ,, ,, 833 ,,0,0,0,Break Water,285.0
286,4 Hitchcock Street," 222,000 ", Jul 2010,0," 190,000 ", Jul 2008, ,, 557  ,104.0,3,1,1,Break Water,286.0
287,58 Hitchcock Street," 253,000 ", 01 Jul 2010,1," 190,000 ", Nov 2005, ,, 590 ,,3,2,1,Break Water,287.0
288,83 Tucker Street," 660,000 ", May 2010,0, ,, ,," 1,781  ",228.0,0,0,0,Break Water,288.0
289,6 Apparel Close," 1,100,000 ", May 2010,0, ,, ,," 6,925 ",,0,0,0,Break Water,289.0
290,28 Fellmongers Road," 1,200,000 ", Apr 2010,0," 117,000 ", Nov 2001, ,, 658 ,,0,0,0,Break Water,290.0
291,47 Leather Street," 1,430,000 ", Apr 2010,0," 250,000 ", Jan 1997, ,," 2,611 ",,0,0,0,Break Water,291.0
292,41 Leather Street," 5,500,000 ", Apr 2010,0, ,, ,," 48,951 ",,0,0,0,Break Water,292.0
293,28 Apparel Close," 1,200,000 ", Apr 2010,0, ,, ,," 8,048 ",,0,0,0,Break Water,293.0
294,6 Hodges Court," 230,000 ", Mar 2010,0, ,, 290 , Mar 2012, 674  ,116.0,3,1,2,Break Water,294.0
295,90 Breakwater Road," 321,000 ", Mar 2010,0," 70,000 ", Oct 1995, ,," 1,093 ",,3,1,1,Break Water,295.0
296,16 Leather Street," 1,900,000 ", Mar 2010,0, ,," 145,000 ", Mar 2012," 3,553  ",2344.0,0,0,0,Break Water,296.0
297,16 Apparel Close," 3,850,000 ", Mar 2010,0, ,, ,," 19,641 ",,0,0,0,Break Water,297.0
298,8 Keith Court," 190,000 ", Feb 2010,0," 173,000 ", Apr 2005, ,, 409 ,,2,1,0,Break Water,298.0
299,38 Hitchcock Street," 220,000 ", Jan 2010,0," 207,000 ", Aug 2007, ,, 662  ,102.0,3,1,1,Break Water,299.0
0,2/105-107 Plantation Road," 210,000 ", Sep 2020,0," 109,000 ", Nov 2006, ,, 98 ,,0,0,0,Corio,0.0
1,42 Purnell Road," 400,000 ", Sep 2020,0, ,, ,, 606 ,,4,1,4,Corio,1.0
2,7 Stirling Street," 475,000 ", Sep 2020,0," 380,000 ", Apr 2017, ,, 704 ,,3,2,2,Corio,2.0
3,4 Durham Court," 460,000 ", Sep 2020,0," 400,000 ", Dec 2017, ,, 844  ,107.0,3,1,4,Corio,3.0
4,7 Amanda Avenue," 455,000 ", Sep 2020,0," 320,000 ", Mar 2012, ,, 613  ,152.0,3,2,4,Corio,4.0
5,4 Norfolk Crescent," 400,000 ", Aug 2020,0," 67,500 ", Mar 1990, ,, 625 ,,3,1,1,Corio,5.0
6,3 Crossley Court," 471,050 ", Aug 2020,0," 265,000 ", Nov 2013, ,, 646  ,145.0,3,1,5,Corio,6.0
7,3/11-13 Corangamite Drive," 310,000 ", Aug 2020,0," 170,000 ", Jan 2006, ,, 286 ,,0,0,0,Corio,7.0
8,9 Fairbairn Drive," 310,000 ", Aug 2020,0," 230,000 ", Sep 2016, ,, 626 ,,3,1,4,Corio,8.0
9,36 Princess Road," 405,000 ", Aug 2020,0," 185,000 ", Feb 2012, ,, 541  ,93.0,3,1,1,Corio,9.0
10,11 Grevillea Avenue," 380,000 ", Aug 2020,0, ,, ,, 632 ,,0,0,0,Corio,10.0
11,74 Hendy Street," 357,000 ", Aug 2020,0, ,, 300 , Apr 2018, 564 ,,3,1,2,Corio,11.0
12,18 Leonora Court," 417,000 ", Aug 2020,0," 206,000 ", Oct 2004, ,, 599 ,,3,2,1,Corio,12.0
13,3 Atami Crescent," 385,000 ", Aug 2020,0," 207,500 ", Feb 2010, ,, 574 ,,3,1,1,Corio,13.0
14,108 Goldsworthy Road," 250,000 ", Aug 2020,0," 54,000 ", Aug 1986, ,, 530 ,,3,1,2,Corio,14.0
15,1 Durham Court," 406,000 ", Aug 2020,0," 210,000 ", Jun 2012, ,, 560  ,108.0,3,1,1,Corio,15.0
16,1 Tyrrell Close," 430,000 ", Aug 2020,0," 330,000 ", Feb 2018, ,, 573 ,,3,1,2,Corio,16.0
17,46 Kanooka Drive," 390,000 ", Aug 2020,0," 259,000 ", Jun 2015, ,, 539  ,109.0,3,1,0,Corio,17.0
18,2 Montana Court," 418,000 ", Aug 2020,0," 210,000 ", Oct 2016, ,, 542 ,,3,1,1,Corio,18.0
19,1 Tambo Court," 335,000 ", Aug 2020,0," 160,000 ", Nov 2014, ,, 635 ,,3,1,1,Corio,19.0
20,347 Princes Highway," 372,500 ", Jul 2020,0," 295,000 ", Nov 2016, ,, 557  ,150.0,5,2,1,Corio,20.0
21,7 Shepherdson Avenue," 430,000 ", Jul 2020,0," 227,500 ", Apr 2015, ,, 542  ,115.0,3,1,2,Corio,21.0
22,44 Colorado Drive," 358,000 ", Jul 2020,0," 160,000 ", Jun 2005, ,, 531  ,98.0,3,1,6,Corio,22.0
23,4/6-8 Corangamite Drive," 292,000 ", Jul 2020,0," 150,000 ", May 2005, ,, 227 ,,0,0,0,Corio,23.0
24,10 Beech Court," 318,000 ", Jul 2020,0," 160,000 ", May 2006, ,, 606 ,,3,1,3,Corio,24.0
25,16 Donax Road," 530,000 ", Jul 2020,0," 297,500 ", Mar 2016, ,," 1,114  ",143.0,3,1,1,Corio,25.0
26,68 Colorado Drive," 422,000 ", Jul 2020,0," 150,000 ", Jan 2005, ,, 593  ,108.0,3,1,2,Corio,26.0
27,9-13 Compass Circuit," 349,000 ", Jul 2020,0, ,, ,, 493 ,,0,0,0,Corio,27.0
28,17 Dunraven Court," 410,000 ", Jul 2020,0," 247,500 ", Mar 2009, ,, 556  ,152.0,3,2,2,Corio,28.0
29,7 Cardross Court," 410,000 ", Jul 2020,0," 167,000 ", Mar 2004, ,, 635 ,,3,2,2,Corio,29.0
30,19 Harpur Road," 370,000 ", Jul 2020,0," 215,000 ", Aug 2014, ,, 697 ,,3,1,2,Corio,30.0
31,167 Bacchus Marsh Road," 630,000 ", Jul 2020,0," 393,000 ", Oct 2015, ,," 1,373  ",167.0,3,1,1,Corio,31.0
32,24 Browning Drive," 390,000 ", Jul 2020,0," 64,000 ", Aug 1987, ,, 566 ,,1,1,2,Corio,32.0
33,27 Remington Street," 380,000 ", Jul 2020,0," 262,000 ", Apr 2013, ,, 556  ,98.0,3,1,1,Corio,33.0
34,9-11 Compass Circuit," 349,000 ", Jul 2020,0, ,, ,, ,,2,1,1,Corio,34.0
35,2 Correa Close," 440,000 ", Jul 2020,0," 300,000 ", Jun 2010, ,, 560 ,,3,2,2,Corio,35.0
36,3 Genista Court," 600,000 ", Jul 2020,0," 470,000 ", Nov 2015, ,, 666  ,341.0,4,3,2,Corio,36.0
37,9-11 Sandra Avenue," 480,000 ", Jul 2020,0, ,, ,," 1,895 ",,0,0,0,Corio,37.0
38,5 Compass Circuit," 520,000 ", Jul 2020,0, ,, ,, 424 ,,0,0,0,Corio,38.0
39,19 Wyoming Avenue," 360,000 ", Jul 2020,0," 250,000 ", Apr 2017, ,, 664  ,122.0,3,1,1,Corio,39.0
40,24 Kingsley Drive," 425,000 ", Jul 2020,0," 92,000 ", May 1991, ,, 566 ,,3,1,2,Corio,40.0
41,13 Sharland Road," 420,000 ", Jul 2020,0," 360,000 ", Nov 2018, ,, 627  ,103.0,3,1,2,Corio,41.0
42,16 Fiona Avenue," 365,000 ", Jul 2020,0," 225,000 ", Aug 2010, ,, 663  ,130.0,3,1,1,Corio,42.0
43,20 Michigan Avenue," 390,000 ", Jun 2020,0, ,, ,, 711 ,,0,0,0,Corio,43.0
44,42 Carmarthen Drive," 380,000 ", Jun 2020,0, ,, ,, 615 ,,0,0,0,Corio,44.0
45,48 Michigan Avenue," 315,000 ", Jun 2020,0," 235,000 ", Sep 2016, ,, 268  ,85.0,2,1,1,Corio,45.0
46,14 Fronsac Avenue," 370,000 ", Jun 2020,0," 220,000 ", Aug 2016, ,, 651 ,,3,1,4,Corio,46.0
47,12 Fronsac Avenue," 370,000 ", Jun 2020,0," 220,000 ", Aug 2016, ,, 651  ,120.0,3,1,4,Corio,47.0
48,19 Remington Street," 400,000 ", Jun 2020,0," 78,000 ", Sep 2000, ,, 626 ,,3,2,2,Corio,48.0
49,4 Nebraska Court," 350,000 ", Jun 2020,0," 250,000 ", Mar 2017, ,, 549  ,108.0,3,1,2,Corio,49.0
50,4 Beech Court," 343,000 ", Jun 2020,0," 90,000 ", Sep 2001, ,, 804 ,,3,0,0,Corio,50.0
51,3/273 Princes Highway," 308,000 ", Jun 2020,0," 265,000 ", Jan 2018, ,, 113 ,,0,0,0,Corio,51.0
52,1/8-9 Fieldman Court," 330,000 ", Jun 2020,0," 250,000 ", Jul 2009, ,, 229 ,,2,1,1,Corio,52.0
53,3 Howqua Court," 370,000 ", Jun 2020,0, ,, ,, 712 ,,3,1,3,Corio,53.0
